분류,메뉴코드,바코드번호,관리메뉴명(한국어),메뉴명(한국어),기존가, 인상후 ,인상가격
상품,B0000505,8801104302937 ,제티 초코24,제티 초코24,800,800, - 
상품,B0000506,8801104304450 ,제티 쿠앤크 24,제티 쿠앤크 24,800,800, - 
상품,B0000511,8801062416974 ,멜로니아,멜로니아,800,800, - 
상품,B0000621,8805584111577 ,망고30,망고30,800,800, - 
상품,B0000632,8805584111041 ,라벨리,라벨리,800,800, - 
상품,B0000633,8805584111010 ,라벨리,라벨리,800,800, - 
상품,B0000634,8805584111027 ,라벨리,라벨리,800,800, - 
상품,B0000640,8805584111034 ,캔디커피,캔디커피,800,800, - 
상품,B0000641,8805584111102 ,라벨리쵸코,라벨리쵸코,800,800, - 
상품,B0000650,8801118255885 ,쵸코바나나,쵸코바나나,800,800, - 
상품,B0000046,8801104304399 ,요맘때 요거그린,요맘때 요거그린,800,"1,000",200
상품,B0000047,8801062422517 ,월드콘,월드콘,800,"1,000",200
상품,B0000048,8801019510243 ,부라보콘 초코청크,부라보콘 초코청크,800,"1,000",200
상품,B0000049,8801019509209 ,부라보 피스타치오,부라보 피스타치오,800,"1,000",200
상품,B0000050,8801104302593 ,요맘때 딸기콘,요맘때 딸기콘,800,"1,000",200
상품,B0000051,8801104301435 ,요맘때 플레인콘,요맘때 플레인콘,800,"1,000",200
상품,B0000053,8801118253751 ,구구콘 화이트,구구콘 화이트,800,"1,000",200
상품,B0000054,8801019509223 ,부라보콘 그레이프,부라보콘 그레이프,800,"1,000",200
상품,B0000055,8801019509193 ,부라보 바닐라,부라보 바닐라,800,"1,000",200
상품,B0000119,8801104131100 ,슈팅스타,슈팅스타,800,"1,000",200
상품,B0000138,8801104111560 ,클랙식요맘때 플레인,클랙식요맘때 플레인,800,"1,000",200
상품,B0000158,8801118253003 ,더블콘타워,더블콘타워,800,"1,000",200
