메뉴별 매출현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
메뉴코드,바코드번호,메뉴명,분류명,거래건수,매출금액,할인금액,판매건수,실매출,부가세,순매출,객단가,판매수량,판매옵션수량,구성비(%)
B0000769,8809260942240 ,미니프레첼 와사비,젤리,22,24000,0,22,24000,2184,21816,1000,24,0,0.07%
B0000790,8801019310720 ,홈런볼,젤리,16,24000,0,16,24000,2179,21821,1500,16,0,0.07%
B0000805,8992775315095 ,게리 치즈크래커,젤리,15,24000,0,15,24000,2180,21820,1500,16,0,0.07%
B0000814,8802896003064 ,호박쫀드기,젤리,19,24000,0,19,24000,2186,21814,1000,24,0,0.07%
B0000815,8801725000335 ,서주 미니웨하스 바닐라,젤리,19,24000,0,19,24000,2182,21818,1200,20,0,0.07%
B0000865,8801062381937 ,꼬깔콘 매콤달콤한맛,롯데과자,16,24000,0,16,24000,2181,21819,1500,16,0,0.07%
B0000879,8437000482017 ,트롤리 키스,젤리,12,24000,0,12,24000,2183,21817,2000,12,0,0.07%
B0000747,4800029902035 ,멜로 머쉬멜로우트위스트 135g,젤리,22,23500,0,22,23500,2138,21362,979,24,0,0.07%
B0000743,8681042330151 ,러쉬 코코아 크림 쿠키 68g,젤리,39,23400,0,39,23400,2118,21282,498,47,0,0.07%
B0000074,8801206740439 ,서주마카롱바,상품,47,23200,0,47,23200,2099,21101,400,58,0,0.06%
B0000780,8850291101557 ,통가든 와사비 완두콩,젤리,21,23200,0,21,23200,2114,21086,800,29,0,0.06%
B0000735,8801062636884 ,가나 밀크초콜릿,롯데과자,21,23000,0,21,23000,2093,20907,1000,23,0,0.06%
B0000736,8801062628476 ,크런키,롯데과자,14,23000,0,14,23000,2093,20907,1000,23,0,0.06%
B0000796,8801073310674 ,라면스낵 불닭,젤리,20,23000,0,20,23000,2091,20909,958,24,0,0.06%
B0000059,8801118251351 ,쿨샷,상품,11,22500,0,11,22500,2043,20457,1500,15,0,0.06%
